,f_date,input_date,s_input_date,week_of_year,input_week_day,puin,cnt
4174,20191022,20190816,2019-08-16,33,5,2713129639,324529
2782,20191022,20190817,2019-08-17,33,6,2713129639,279504
4265,20191022,20190818,2019-08-18,33,7,2713129639,266271
5342,20191022,20190819,2019-08-19,34,1,2713129639,292502
3631,20191022,20190820,2019-08-20,34,2,2713129639,283626
2756,20191022,20190821,2019-08-21,34,3,2713129639,270311
171,20191022,20190822,2019-08-22,34,4,2713129639,267305
3415,20191022,20190823,2019-08-23,34,5,2713129639,283570
3142,20191022,20190824,2019-08-24,34,6,2713129639,257774
3888,20191022,20190825,2019-08-25,34,7,2713129639,247481
635,20191022,20190826,2019-08-26,35,1,2713129639,263967
2288,20191022,20190827,2019-08-27,35,2,2713129639,252063
190,20191022,20190828,2019-08-28,35,3,2713129639,277541
5270,20191022,20190829,2019-08-29,35,4,2713129639,270868
2440,20191022,20190830,2019-08-30,35,5,2713129639,273710
4282,20191022,20190831,2019-08-31,35,6,2713129639,257748
4213,20191022,20190901,2019-09-01,35,7,2713129639,226027
4452,20191022,20190902,2019-09-02,36,1,2713129639,242941
4161,20191022,20190903,2019-09-03,36,2,2713129639,242862
3729,20191022,20190904,2019-09-04,36,3,2713129639,235028
3852,20191022,20190905,2019-09-05,36,4,2713129639,242804
3570,20191022,20190906,2019-09-06,36,5,2713129639,239287
2292,20191022,20190907,2019-09-07,36,6,2713129639,231101
5140,20191022,20190908,2019-09-08,36,7,2713129639,240925
3363,20191022,20190909,2019-09-09,37,1,2713129639,243589
804,20191022,20190910,2019-09-10,37,2,2713129639,239435
2078,20191022,20190911,2019-09-11,37,3,2713129639,218965
4453,20191022,20190912,2019-09-12,37,4,2713129639,237193
2757,20191022,20190913,2019-09-13,37,5,2713129639,242764
3425,20191022,20190914,2019-09-14,37,6,2713129639,215906
5114,20191022,20190915,2019-09-15,37,7,2713129639,200420
2088,20191022,20190916,2019-09-16,38,1,2713129639,220176
1378,20191022,20190917,2019-09-17,38,2,2713129639,219518
1913,20191022,20190918,2019-09-18,38,3,2713129639,226675
1714,20191022,20190919,2019-09-19,38,4,2713129639,219208
2766,20191022,20190920,2019-09-20,38,5,2713129639,223574
4724,20191022,20190921,2019-09-21,38,6,2713129639,229610
289,20191022,20190922,2019-09-22,38,7,2713129639,251550
4476,20191022,20190923,2019-09-23,39,1,2713129639,223831
2079,20191022,20190924,2019-09-24,39,2,2713129639,217325
960,20191022,20190925,2019-09-25,39,3,2713129639,256427
1708,20191022,20190926,2019-09-26,39,4,2713129639,242363
3254,20191022,20190927,2019-09-27,39,5,2713129639,248055
5092,20191022,20190928,2019-09-28,39,6,2713129639,247779
76,20191022,20190929,2019-09-29,39,7,2713129639,230591
1942,20191022,20190930,2019-09-30,40,1,2713129639,231902
4413,20191022,20191001,2019-10-01,40,2,2713129639,214914
1743,20191022,20191002,2019-10-02,40,3,2713129639,217512
2125,20191022,20191003,2019-10-03,40,4,2713129639,220301
2847,20191022,20191004,2019-10-04,40,5,2713129639,211676
2298,20191022,20191005,2019-10-05,40,6,2713129639,207064
4327,20191022,20191006,2019-10-06,40,7,2713129639,189804
2063,20191022,20191007,2019-10-07,41,1,2713129639,193380
1915,20191022,20191008,2019-10-08,41,2,2713129639,208692
4672,20191022,20191009,2019-10-09,41,3,2713129639,220222
4189,20191022,20191010,2019-10-10,41,4,2713129639,219584
667,20191022,20191011,2019-10-11,41,5,2713129639,213806
1155,20191022,20191012,2019-10-12,41,6,2713129639,211886
1074,20191022,20191013,2019-10-13,41,7,2713129639,213965
2421,20191022,20191014,2019-10-14,42,1,2713129639,209746
258,20191022,20191015,2019-10-15,42,2,2713129639,223277
3737,20191022,20191016,2019-10-16,42,3,2713129639,229336
4817,20191022,20191017,2019-10-17,42,4,2713129639,235770
3763,20191022,20191018,2019-10-18,42,5,2713129639,237410
4634,20191022,20191019,2019-10-19,42,6,2713129639,219681
358,20191022,20191020,2019-10-20,42,7,2713129639,219736
1557,20191022,20191021,2019-10-21,43,1,2713129639,239911
2264,20191022,20191022,2019-10-22,43,2,2713129639,122453
