cnt_stat_week_of_year,cnt_stat_week_day,today_input_cnt
37,1,5
37,2,8
37,3,19
37,4,23
37,5,9
37,6,14
37,7,18
38,1,20
38,2,12
38,3,12
38,4,18
38,5,11
38,6,13
38,7,12
39,1,15
39,2,17
39,3,17
39,4,11
39,5,15
39,6,18
39,7,14
40,1,23
40,2,21
40,3,20
40,4,30
40,5,22
40,6,22
40,7,22
41,1,23
41,2,20
41,3,25
41,4,33
41,5,21
41,6,14
41,7,18
42,1,25
42,2,31
42,3,21
42,4,24
42,5,18
42,6,28
42,7,22
43,1,38
43,2,39
43,3,28
43,4,20
43,5,21
43,6,20
43,7,18
44,1,28
44,2,23
44,3,28
44,4,33
44,5,28
44,6,17
44,7,32
